Temperature_c,Humidity,Wind_Speed_kmh,Wind_Bearing_degrees,Visibility_km,Pressure_millibars,Rain,Description
12.12777778,0.93,6.0053,260,16.0517,999.62,1,Normal
6.622222222,0.77,19.7869,150,15.7297,1012.83,1,Normal
15.93888889,0.86,13.3791,33,14.168,1016.58,1,Normal
17.81111111,0.73,2.8658,116,9.982,1012.69,1,Normal
6.661111111,0.84,22.9747,148,14.0875,1011.4,1,Normal
27.42777778,0.59,8.2593,205,11.4471,1006.41,1,Warm
12.42777778,0.87,11.1895,58,11.4471,1008.74,1,Normal
25.11666667,0.33,8.8067,14,16.1,1018.39,1,Warm
7.172222222,0.8,14.007,202,9.8049,1015.34,1,Normal
-0.033333333,0.92,8.8228,259,1.9964,1018.25,0,Cold
6.777777778,0.79,13.0088,116,9.0804,1032.7,1,Normal
17.88333333,0.77,19.4649,282,11.4471,1008.89,1,Normal
2.311111111,0.6,19.8352,22,9.982,1032.74,1,Cold
16.66666667,0.7,11.27,280,16.1,1014.6,1,Normal
34.77777778,0.27,12.7995,192,10.3684,1011.69,1,Warm
11.04444444,0.54,4.83,150,16.1,1016.09,1,Normal
17.33888889,0.98,8.7262,238,6.1985,1013.06,1,Normal
27.43888889,0.44,28.9317,311,11.3988,1010.15,1,Warm
16.55,0.73,10.7548,141,16.1,1012.09,1,Normal
-1.161111111,0.92,12.2038,150,4.8461,1014.68,0,Cold
-2.761111111,0.98,7.1806,318,4.0572,1018.69,0,Cold
-0.277777778,0.86,0,0,7.8729,1018.41,0,Cold
12.76666667,0.9,7.5026,29,10.2235,1019.1,1,Normal
27.67222222,0.23,18.1286,288,10.3684,1020.38,1,Warm
28.79444444,0.39,7.9534,306,9.982,1017.03,1,Warm
27.77777778,0.46,9.66,200,9.982,1017.4,1,Warm
15.57777778,0.89,10.6904,313,15.8263,1018.66,1,Normal
7.777777778,0.72,6.5688,38,15.8263,1025.25,1,Normal
28.91666667,0.51,16.583,351,10.0464,1015.51,1,Warm
3.283333333,0.82,13.3147,107,9.982,1003.8,1,Cold
10.87777778,0.81,20.3021,139,9.8693,1001.81,1,Normal
7.4,0.95,3.381,337,4.9105,1015.78,1,Normal
18.88888889,0.65,9.66,330,9.982,1017.1,1,Warm
6.594444444,0.93,7.1001,174,9.9015,1024.25,1,Normal
-1.666666667,0.92,14.49,150,3.059,1021.7,0,Cold
9.866666667,0.94,12.236,193,0.3703,1015.01,1,Normal
22.10555556,0.6,26.4684,329,9.982,1016.34,1,Warm
7.266666667,0.71,16.9372,30,9.982,1022.31,1,Normal
16.98888889,0.56,4.669,128,11.2056,1018.03,1,Normal
13.35555556,0.86,17.388,260,12.0428,1005.83,1,Normal
16.09444444,0.72,25.2126,171,10.3684,997.54,1,Normal
7.8,0.96,22.7815,329,7.9695,1014.48,1,Normal
12.22222222,0.82,16.905,151,15.8263,1009.5,1,Normal
35.11666667,0.25,15.9551,149,9.982,1013.37,1,Warm
24.75,0.47,15.134,146,10.3523,1011.87,1,Warm
10.34444444,0.94,12.8639,59,2.7692,1023.97,1,Normal
13.91111111,0.64,11.3505,242,15.8263,1019.64,1,Normal
11.96666667,0.53,26.7582,152,8.7745,1017.39,1,Normal
24.87222222,0.52,15.2306,269,9.982,1015.87,1,Warm
1.111111111,0.51,6.44,340,16.1,1029.9,1,Cold
10.67777778,0.88,11.1251,280,14.9569,1021.58,1,Normal
7.272222222,0.96,5.796,8,3.7191,1021.74,1,Normal
11.31666667,0.64,3.22,260,9.982,1021.95,1,Normal
9.75,0.84,34.132,304,11.0768,1006.21,1,Normal
5.488888889,0.73,27.5793,298,14.9569,1019.96,1,Normal
-4.344444444,0.99,10.3523,203,5.2325,1020.83,0,Cold
0.605555556,0.95,9.499,182,8.4364,1019.59,1,Cold
5.511111111,0.96,3.0751,166,15.8263,1020.59,1,Normal
-2.15,0.88,12.6707,10,6.2951,1031.21,0,Cold
-1.644444444,0.96,3.22,320,0.161,1022.14,0,Cold
7.938888889,0.88,9.2253,141,9.982,1022.86,1,Normal
4.75,0.86,10.143,160,4.8944,1018.49,1,Normal
2.266666667,0.85,11.1251,209,9.9015,1013.98,1,Cold
18.95555556,0.34,17.1465,161,16.1,1016.46,1,Warm
1.766666667,0.96,2.9946,167,4.5402,1028.43,1,Cold
5.411111111,0.73,6.2951,300,9.982,1015.18,1,Normal
8.288888889,0.75,3.5742,259,15.6975,1016.99,1,Normal
-2.772222222,0.92,6.4883,173,2.6887,1011.73,0,Cold
12.96666667,0.87,6.0697,140,14.8764,1017.9,1,Normal
23.88888889,0.38,8.05,130,9.982,1023.1,1,Warm
-0.022222222,0.99,5.9731,1,4.2826,998.5,0,Cold
12.81111111,0.96,3.1234,163,11.3022,1016.07,1,Normal
22.10555556,0.46,31.4755,301,15.8263,1014.04,1,Warm
0.533333333,0.92,28.0623,21,8.1305,1004.49,1,Cold
12.26111111,0.72,13.685,30,15.7297,1007.54,1,Normal
8.888888889,0.89,12.88,160,7.084,990.8,1,Normal
4.933333333,0.86,4.2504,342,8.1305,1021.34,1,Normal
3.794444444,1,14.1197,34,7.0357,999.79,1,Cold
10.02222222,0.82,23.0713,190,9.982,1011.76,1,Normal
21.07222222,0.64,15.0535,237,9.982,1011.61,1,Warm
11.5,0.78,9.6117,20,11.6081,1020.16,1,Normal
17.75555556,0.81,6.2951,339,16.1,1012.98,1,Normal
24.83333333,0.48,14.0875,279,10.0464,1012.65,1,Warm
6.35,0.83,10.5938,239,15.1823,1018.91,1,Normal
34.59444444,0.42,10.3362,144,15.5526,1017.5,1,Warm
2.566666667,0.61,4.7012,19,16.1,1034.05,1,Cold
4.027777778,0.63,7.7763,4,10.0464,1013.69,1,Cold
7.222222222,0.76,11.27,260,16.1,1016.6,1,Normal
5.116666667,0.81,9.2253,233,11.27,1004.72,1,Normal
1.038888889,0.93,15.778,32,7.6958,1007.43,1,Cold
22.86111111,0.38,12.6224,304,10.3523,1012.63,1,Warm
17.73333333,0.96,11.3666,319,6.2951,1010.69,1,Normal
2.6,0.95,9.338,358,9.982,1027.63,1,Cold
13.62222222,0.85,1.3202,190,9.177,1015.37,1,Normal
2.733333333,0.76,15.6975,210,9.982,1016.66,1,Cold
24.95,0.5,10.8031,229,11.2056,1014.96,1,Warm
20,0.68,16.0195,110,8.1305,1014.51,1,Warm
14.07222222,0.66,4.6207,181,16.1,1016.69,1,Normal
4.066666667,0.99,4.4758,347,10.4972,1016.4,1,Cold
22.41111111,0.84,6.44,350,15.5526,1021.95,1,Warm
11.16111111,0.8,7.9051,181,8.1305,1011.47,1,Normal
8.333333333,0.6,20.93,280,16.1,1007.3,1,Normal
6.788888889,0.96,3.1556,75,14.3773,1014.65,1,Normal
9.894444444,0.86,13.524,29,11.0768,1001.33,1,Normal
2.777777778,0.83,9.2897,129,15.7297,1029.31,1,Cold
-8.838888889,0.84,7.3577,240,9.6761,1012.82,0,Cold
13.2,0.85,3.5259,159,11.753,1011.69,1,Normal
18.79444444,0.48,2.9463,30,10.2074,1026.03,1,Normal
-0.555555556,0.66,25.76,300,16.1,1016.4,0,Cold
13.91111111,0.77,12.1877,18,10.2557,1011.06,1,Normal
27.10555556,0.47,7.8407,350,9.982,1014.65,1,Warm
27.76111111,0.46,9.2575,140,9.982,1011.66,1,Warm
2.15,0.86,8.8711,319,6.0214,1026.72,1,Cold
24.88333333,0.68,20.8656,310,11.27,1006.34,1,Warm
7.338888889,0.96,11.9301,160,6.8103,1011.69,1,Normal
-7.777777778,0.88,25.76,70,2.576,1004.9,0,Cold
5.066666667,0.7,33.0855,309,9.982,1022.31,1,Normal
24.65555556,0.5,11.4632,345,9.982,1009.77,1,Warm
16.28333333,0.85,3.22,250,9.982,1014.56,1,Normal
22.84444444,0.29,10.9158,101,9.982,1013.56,1,Warm
22.49444444,0.68,14.2646,313,10.8997,1020.1,1,Warm
10.20555556,0.76,9.5312,183,9.982,1021.37,1,Normal
1.088888889,0.85,9.3702,0,4.3953,1024.94,1,Cold
24.91111111,0.33,7.889,195,10.3684,1022.16,1,Warm
16.58888889,0.78,5.3291,20,14.9569,1020.22,1,Normal
10.95555556,0.72,9.5795,100,8.1305,1020.21,1,Normal
14.23888889,0.81,10.8997,100,15.8263,1005.91,1,Normal
8.911111111,1,4.9427,79,3.0107,1022.27,1,Normal
27.52222222,0.47,19.7064,351,15.8263,1013.41,1,Warm
7.872222222,0.83,13.8299,181,16.1,1018.77,1,Normal
5.916666667,0.71,17.2431,306,9.982,1026.13,1,Normal
18.92777778,0.19,12.1877,172,15.5526,1025.88,1,Warm
9.483333333,0.96,23.989,184,13.9426,996.43,1,Normal
30.04444444,0.34,7.9695,197,10.2557,1010.63,1,Warm
8.738888889,0.77,12.3487,162,9.9981,1020.1,1,Normal
8.761111111,0.83,3.542,253,14.9569,1015.73,1,Normal
14.06666667,0.49,13.3952,318,11.3988,1015.19,1,Normal
19.41666667,0.65,14.3773,325,10.3523,1007.42,1,Warm
12.71666667,0.84,13.5401,164,14.9569,1003.98,1,Normal
11.40555556,0.93,3.4454,55,5.4257,1013.31,1,Normal
28.88333333,0.29,15.5204,168,9.982,1017.59,1,Warm
-1.827777778,0.78,10.8675,320,6.0697,1025.36,0,Cold
8.333333333,0.8,11.27,200,15.134,1013.5,1,Normal
25.96666667,0.54,8.9355,152,10.3523,1015.04,1,Warm
-3.888888889,0.74,12.88,290,9.982,1007.1,0,Cold
25.02222222,0.39,11.9462,9,9.982,1020.71,1,Warm
14.41666667,0.62,10.7226,340,15.8263,1018.07,1,Normal
27.77777778,0.4,27.5632,310,11.2056,1009.49,1,Warm
12.82222222,0.77,5.0393,30,9.982,1017.78,1,Normal
-1.083333333,0.78,33.5041,149,16.0517,1020,0,Cold
18.33333333,0.93,6.4239,354,14.812,1011.61,1,Normal
6.111111111,0.93,9.66,190,4.025,1015.8,1,Normal
7.827777778,0.77,28.9478,148,10.3523,1013.95,1,Normal
4.95,0.93,9.6761,292,4.4919,1011.14,1,Normal
10.85,0.93,4.7495,270,9.5956,1016.24,1,Normal
3.888888889,0.52,11.27,310,11.27,1016.4,1,Cold
-1.205555556,0.89,8.0178,188,6.0053,1025.89,0,Cold
2.822222222,0.73,8.0661,301,10.3523,1020.57,1,Cold
17.17777778,0.64,2.9624,252,9.982,1014.52,1,Normal
5.05,0.69,14.0714,254,11.2056,1008.27,1,Normal
2.138888889,1,14.0392,198,1.0626,1029.15,1,Cold
-12.77777778,0.76,11.27,0,4.025,1030.3,0,Cold
10.05,0.65,17.0016,170,9.982,1019.33,1,Normal
10.05,0.76,7.7441,342,11.2056,1015.92,1,Normal
22.92777778,0.37,9.7888,355,10.3523,1025.17,1,Warm
-0.266666667,0.93,9.2736,187,8.855,1020.48,0,Cold
16.10555556,0.87,9.2575,150,11.1251,1016.62,1,Normal
8.266666667,0.96,3.5259,313,2.2057,1011.66,1,Normal
3.916666667,0.92,5.1359,46,7.084,1027.32,1,Cold
27.22222222,0.39,4.2504,289,9.982,1014.78,1,Warm
16.36666667,0.85,19.159,302,11.0768,1011.14,1,Normal
22.61666667,0.67,10.5616,242,9.982,1009.52,1,Warm
0.083333333,0.95,9.5312,173,4.9266,1019.5,1,Cold
23.73888889,0.66,1.3202,69,10.2235,1015.67,1,Warm
6.561111111,0.9,6.3917,143,9.1287,1023.02,1,Normal
19.51111111,0.93,5.5384,250,14.5866,1013.02,1,Warm
9.95,0.93,14.007,41,4.347,1014.04,1,Normal
7.85,0.83,15.5204,150,9.9015,1013.96,1,Normal
14.90555556,0.45,3.1556,8,9.982,1029.6,1,Normal
23.8,0.86,3.22,340,14.8764,1013.76,1,Warm
-3.861111111,1,3.2683,224,0.9016,1018.49,0,Cold
28.37222222,0.46,13.9587,189,15.8263,1008.48,1,Warm
10.91666667,0.9,9.0804,137,9.3219,1021.76,1,Normal
7.15,0.87,5.5545,159,9.7566,1014.59,1,Normal
6.927777778,0.73,13.1376,308,15.1823,1017.6,1,Normal
24.8,0.49,20.7046,243,10.4006,1009.63,1,Warm
19.65,0.61,10.3362,120,16.1,1013.13,1,Warm
7.683333333,0.84,4.2665,41,9.982,1023.03,1,Normal
8.388888889,0.88,13.8782,151,9.982,1010.89,1,Normal
15,0.83,13.8621,329,16.0517,1019.24,1,Normal
